ID,time,rater,rating,desc::rater,dim::image,med::audio,med::video,med::image,desc::text,syllables,disfluencies,duration,rate,mean,sd,excursion,min,max,res::hide_ipu_code,res::temp_audio_code,res::recording,res::snippet,res::offset,res::experimentalsequence
CH48,48,1,c,CH,no,https://www.francescocangemi.com/isaphen/KPN.wav,https://youtu.be/xwqhSLq1oyg&t=0953,,and the physical structure of the game,10,4,2321,4.31,90,5,11,80,112,02_0846_94.wav,KPN,02,0846,107,32
CH49,49,1,c,CH,no,https://www.francescocangemi.com/isaphen/KXL.wav,https://youtu.be/xwqhSLq1oyg&t=0955,,and how those get mapped on to each other,10,1,1766,5.66,86,5,12,75,103,02_0846_96.wav,KXL,02,0846,109,33
CH50,50,1,d,CH,yes,https://www.francescocangemi.com/isaphen/FHC.wav,https://youtu.be/xwqhSLq1oyg&t=1164,https://www.francescocangemi.com/isaphen/FHC.png,um so i've,3,4,1278,2.35,117,11,26,92,152,02_1164_02.wav,FHC,02,1164,0,15
CH51,51,1,d,CH,no,https://www.francescocangemi.com/isaphen/VSP.wav,https://youtu.be/xwqhSLq1oyg&t=1166,,played a fair amount of wargames but,9,0,1594,5.65,118,27,70,88,182,02_1164_06.wav,VSP,02,1164,2,69
CH52,52,1,d,CH,no,https://www.francescocangemi.com/isaphen/BJZ.wav,https://youtu.be/xwqhSLq1oyg&t=1168,,uh with,2,3,1274,1.57,101,11,27,72,126,02_1164_10.wav,BJZ,02,1164,4,5
CH53,53,1,d,CH,no,https://www.francescocangemi.com/isaphen/GFY.wav,https://youtu.be/xwqhSLq1oyg&t=1173,,sample size is limited,7,1,1112,6.29,99,11,25,85,143,02_1164_18.wav,GFY,02,1164,9,19
CH54,54,1,e,CH,no,https://www.francescocangemi.com/isaphen/LHA.wav,https://youtu.be/xwqhSLq1oyg&t=1724,,oh sorry um i didn't mean to cut you short,11,1,1968,5.59,109,10,24,86,133,02_1724_02.wav,LHA,02,1724,0,36
CH55,55,1,e,CH,yes,https://www.francescocangemi.com/isaphen/XCK.wav,https://youtu.be/xwqhSLq1oyg&t=1728,https://www.francescocangemi.com/isaphen/XCK.png,no i was gonna say i think it,9,2,1266,7.11,160,27,73,107,236,02_1724_06.wav,XCK,02,1724,4,75
CH56,56,1,e,CH,yes,https://www.francescocangemi.com/isaphen/FXW.wav,https://youtu.be/xwqhSLq1oyg&t=1730,https://www.francescocangemi.com/isaphen/FXW.png,depends on what you want to,7,5,2136,3.28,101,9,23,77,131,02_1724_10.wav,FXW,02,1724,6,16
CH57,57,1,e,CH,yes,https://www.francescocangemi.com/isaphen/ABW.wav,https://youtu.be/xwqhSLq1oyg&t=1733,https://www.francescocangemi.com/isaphen/ABW.png,get out of it in terms of,7,3,1869,3.75,99,7,17,82,120,02_1724_12.wav,ABW,02,1724,9,1
CH58,58,1,e,CH,yes,https://www.francescocangemi.com/isaphen/ZQL.wav,https://youtu.be/xwqhSLq1oyg&t=1736,https://www.francescocangemi.com/isaphen/ZQL.png,i mean i would call it intersubjectivity i'm sure there are lots of other words,22,1,3216,6.84,93,10,24,77,128,02_1724_14.wav,ZQL,02,1724,12,85
CH59,59,1,e,CH,no,https://www.francescocangemi.com/isaphen/XOV.wav,https://youtu.be/xwqhSLq1oyg&t=1739,,because if we continued,7,3,1576,4.44,107,9,23,90,129,02_1724_16.wav,XOV,02,1724,15,76
CH60,60,1,e,CH,no,https://www.francescocangemi.com/isaphen/PDD.wav,https://youtu.be/xwqhSLq1oyg&t=1743,,as a group we'd build a lot of,8,2,1762,4.54,97,9,24,83,121,02_1724_20.wav,PDD,02,1724,19,46
CH61,61,1,e,CH,no,https://www.francescocangemi.com/isaphen/ZJO.wav,https://youtu.be/xwqhSLq1oyg&t=1746,,common knowledge together right and that's gonna change the linguistic practice,19,1,3845,4.94,93,11,24,77,133,02_1724_22.wav,ZJO,02,1724,22,83
CH62,62,1,e,CH,no,https://www.francescocangemi.com/isaphen/OGW.wav,https://youtu.be/xwqhSLq1oyg&t=1751,,in a in an interesting way um,9,3,1930,4.66,103,14,38,81,146,02_1724_24.wav,OGW,02,1724,27,42
CH63,63,1,e,CH,no,https://www.francescocangemi.com/isaphen/XWH.wav,https://youtu.be/xwqhSLq1oyg&t=1757,,that's gonna go in another direction,11,2,2311,4.76,96,8,18,83,125,02_1724_34.wav,XWH,02,1724,33,78
CH64,64,1,e,CH,no,https://www.francescocangemi.com/isaphen/GGO.wav,https://youtu.be/xwqhSLq1oyg&t=1763,,the kind of,3,3,1038,2.89,94,8,18,83,114,02_1724_40.wav,GGO,02,1724,39,20
CH65,65,1,e,CH,no,https://www.francescocangemi.com/isaphen/SIE.wav,https://youtu.be/xwqhSLq1oyg&t=1764,,nature of assumed knowledge and that kind of thing,12,1,2436,4.93,92,7,17,82,120,02_1724_42.wav,SIE,02,1724,40,60
CH66,66,1,e,CH,no,https://www.francescocangemi.com/isaphen/WXF.wav,https://youtu.be/xwqhSLq1oyg&t=1767,,uh so i just thought i'd throw that out there i guess it it kind of depends on what,20,4,3283,6.09,96,11,27,78,138,02_1724_44.wav,WXF,02,1724,43,73
CH67,67,1,e,CH,no,https://www.francescocangemi.com/isaphen/UQG.wav,https://youtu.be/xwqhSLq1oyg&t=1773,,Francesco i suppose,6,3,1404,4.27,88,5,13,77,100,02_1724_50.wav,UQG,02,1724,49,63
CH68,68,1,e,CH,no,https://www.francescocangemi.com/isaphen/QJJ.wav,https://youtu.be/xwqhSLq1oyg&t=1775,,um in terms of the linguistic,8,4,2365,3.38,91,4,11,82,102,02_1724_52.wav,QJJ,02,1724,51,53
CH69,69,1,f,CH,no,https://www.francescocangemi.com/isaphen/GPX.wav,https://youtu.be/xwqhSLq1oyg&t=1825,,i that's u um i i think both are,9,6,3548,2.54,139,32,87,76,214,02_1823_03.wav,GPX,02,1823,2,24
CH70,70,1,f,CH,no,https://www.francescocangemi.com/isaphen/GNE.wav,https://youtu.be/xwqhSLq1oyg&t=1829,,quite interesting i don't want to um,9,4,2141,4.2,102,9,24,88,132,02_1823_05.wav,GNE,02,1823,6,22
CH71,71,1,f,CH,no,https://www.francescocangemi.com/isaphen/YDD.wav,https://youtu.be/xwqhSLq1oyg&t=1835,,project anything,5,1,1039,4.81,98,9,24,83,128,02_1823_11.wav,YDD,02,1823,12,79
CH72,72,1,f,CH,no,https://www.francescocangemi.com/isaphen/ZRA.wav,https://youtu.be/xwqhSLq1oyg&t=1838,,the goals of the research,6,1,1309,4.58,98,7,16,86,111,02_1823_17.wav,ZRA,02,1823,15,87
CH73,73,1,f,CH,no,https://www.francescocangemi.com/isaphen/BGR.wav,https://youtu.be/xwqhSLq1oyg&t=1840,,but uh what was i gonna say,8,2,1287,6.22,101,6,13,82,123,02_1823_19.wav,BGR,02,1823,17,4
CH74,74,1,f,CH,no,https://www.francescocangemi.com/isaphen/OMU.wav,https://youtu.be/xwqhSLq1oyg&t=1846,,the reality is is if we plan to meet as four,14,4,3530,3.97,110,18,45,84,160,02_1823_27.wav,OMU,02,1823,23,43
CH75,75,1,f,CH,no,https://www.francescocangemi.com/isaphen/TOU.wav,https://youtu.be/xwqhSLq1oyg&t=1858,,i would say that might,5,3,1147,4.36,105,9,23,90,133,02_1823_31.wav,TOU,02,1823,35,62
CH76,76,1,f,CH,no,https://www.francescocangemi.com/isaphen/EPR.wav,https://youtu.be/xwqhSLq1oyg&t=1861,,it might be a happy medium,9,0,1475,6.1,99,9,23,83,124,02_1823_35.wav,EPR,02,1823,38,10
CH77,77,1,f,CH,yes,https://www.francescocangemi.com/isaphen/SEJ.wav,https://youtu.be/xwqhSLq1oyg&t=1864,https://www.francescocangemi.com/isaphen/SEJ.png,cause it won't always be,6,3,1443,4.16,101,16,42,76,144,02_1823_41.wav,SEJ,02,1823,41,58
CH78,78,1,g,CH,no,https://www.francescocangemi.com/isaphen/YWE.wav,https://youtu.be/xwqhSLq1oyg&t=1906,,put that way i really like that,8,1,1310,6.11,107,14,37,87,148,02_1902_06.wav,YWE,02,1902,4,81
CH79,79,1,g,CH,no,https://www.francescocangemi.com/isaphen/WIR.wav,https://youtu.be/xwqhSLq1oyg&t=1911,,because you're just you're you're taking out one element,13,1,2292,5.67,103,8,16,86,141,02_1902_12.wav,WIR,02,1902,9,72
CH80,80,1,g,CH,no,https://www.francescocangemi.com/isaphen/EYW.wav,https://youtu.be/xwqhSLq1oyg&t=1914,,person i should call them people they're people,11,3,1785,6.16,96,17,39,79,156,02_1902_17.wav,EYW,02,1902,12,11
CH81,81,1,g,CH,yes,https://www.francescocangemi.com/isaphen/ZQO.wav,https://youtu.be/xwqhSLq1oyg&t=1920,https://www.francescocangemi.com/isaphen/ZQO.png,the test subjects,4,3,1445,2.77,106,22,54,80,160,02_1902_23.wav,ZQO,02,1902,18,86
CH82,82,1,g,CH,yes,https://www.francescocangemi.com/isaphen/FGY.wav,https://youtu.be/xwqhSLq1oyg&t=1925,https://www.francescocangemi.com/isaphen/FGY.png,materials,4,2,1331,3.01,105,15,34,88,142,02_1902_31.wav,FGY,02,1902,23,14
CH83,83,1,g,CH,no,https://www.francescocangemi.com/isaphen/GPQ.wav,https://youtu.be/xwqhSLq1oyg&t=1933,,we got a goal orientation of,10,1,1725,5.8,110,14,38,86,141,02_1902_36.wav,GPQ,02,1902,31,23
CH84,84,1,g,CH,no,https://www.francescocangemi.com/isaphen/GYL.wav,https://youtu.be/xwqhSLq1oyg&t=1937,,and building common knowledge and but also building knowledge with the,17,3,3851,4.41,107,14,34,84,156,02_1902_40.wav,GYL,02,1902,35,26
CH85,85,1,g,CH,no,https://www.francescocangemi.com/isaphen/IPF.wav,https://youtu.be/xwqhSLq1oyg&t=1942,,objects right because there's kind of a,9,1,1845,4.88,100,16,42,80,158,02_1902_42.wav,IPF,02,1902,40,29
CH86,86,1,g,CH,no,https://www.francescocangemi.com/isaphen/XVC.wav,https://youtu.be/xwqhSLq1oyg&t=1945,,you know situated cognition or distributed cognition or whatever,21,3,3052,6.88,94,9,16,77,144,02_1902_46.wav,XVC,02,1902,43,77
CH87,87,1,g,CH,yes,https://www.francescocangemi.com/isaphen/AYW.wav,https://youtu.be/xwqhSLq1oyg&t=1950,https://www.francescocangemi.com/isaphen/AYW.png,and then you introduce someone who's new,10,1,2326,4.3,99,10,21,87,134,02_1902_50.wav,AYW,02,1902,48,3
CH88,88,1,g,CH,no,https://www.francescocangemi.com/isaphen/FAI.wav,https://youtu.be/xwqhSLq1oyg&t=1953,,then you've got a cool kind of,7,3,1543,4.54,97,9,24,81,116,02_1902_52.wav,FAI,02,1902,51,12
CH89,89,1,g,CH,no,https://www.francescocangemi.com/isaphen/VHR.wav,https://youtu.be/xwqhSLq1oyg&t=1957,,zone of proximal development thing kind of going on,15,0,2494,6.01,95,6,13,81,126,02_1902_56.wav,VHR,02,1902,55,67
JE1,1,1.1,w,JE,no,https://www.francescocangemi.com/isaphen/PSB.wav,https://youtu.be/xwqhSLq1oyg&t=0600,,aw man I forgot what I was gonna say,11,0,1893,5.81,94,6,16,79,111,02_0594_07.wav,PSB,02,0594,6,48
JE2,2,1.1,x,JE,no,https://www.francescocangemi.com/isaphen/CQU.wav,https://youtu.be/xwqhSLq1oyg&t=0604,,yea no based on um,5,0,1351,3.7,116,13,31,98,139,02_0594_11.wav,CQU,02,0594,10,8
JE3,3,1.1,x,JE,no,https://www.francescocangemi.com/isaphen/AFN.wav,https://youtu.be/xwqhSLq1oyg&t=0605,,you know I I I love gaming and I went into that,14,0,2710,5.17,106,9,19,92,150,02_0594_13.wav,AFN,02,0594,11,2
JE4,4,1.1,y,JE,no,https://www.francescocangemi.com/isaphen/QPD.wav,https://youtu.be/xwqhSLq1oyg&t=0609,,you know hoping to get,6,0,1042,5.76,103,11,29,81,129,02_0594_17.wav,QPD,02,0594,15,54
JE5,5,1.1,x,JE,no,https://www.francescocangemi.com/isaphen/ZNZ.wav,https://youtu.be/xwqhSLq1oyg&t=0611,,to the imaginary,7,0,1060,6.6,95,6,10,85,123,02_0594_19.wav,ZNZ,02,0594,17,84
JE6,6,1.1,x,JE,no,https://www.francescocangemi.com/isaphen/FBQ.wav,https://youtu.be/xwqhSLq1oyg&t=0615,,but never really got there,7,0,1058,6.62,98,9,24,82,118,02_0594_25.wav,FBQ,02,0594,21,13
JE7,7,1.1,x,JE,no,https://www.francescocangemi.com/isaphen/QCL.wav,https://youtu.be/xwqhSLq1oyg&t=0618,,so I think um,4,0,1298,3.08,105,12,29,88,145,02_0594_29.wav,QCL,02,0594,24,51
JE8,8,1.1,w,JE,no,https://www.francescocangemi.com/isaphen/RNG.wav,https://youtu.be/xwqhSLq1oyg&t=0622,,um frustration is the wrong word,8,0,1556,5.14,103,11,28,87,131,02_0594_33.wav,RNG,02,0594,28,56
JE9,9,1.1,w,JE,no,https://www.francescocangemi.com/isaphen/WGE.wav,https://youtu.be/xwqhSLq1oyg&t=0624,https://www.francescocangemi.com/isaphen/WGE.png,i think out of habit i wanted to go to that imaginary place and that kept messing up,25,1,3872,6.46,100,11,21,83,153,02_0594_35.wav,WGE,02,0594,30,71
JE10,10,1.1,y,JE,no,https://www.francescocangemi.com/isaphen/GKR.wav,https://youtu.be/xwqhSLq1oyg&t=0630,https://www.francescocangemi.com/isaphen/GKR.png,having to um,4,3,1513,2.64,93,5,13,85,115,02_0594_39.wav,GKR,02,0594,36,21
JE11,11,1.1,x,JE,no,https://www.francescocangemi.com/isaphen/WAS.wav,https://youtu.be/xwqhSLq1oyg&t=0633,,direct physical space without the,9,1,1810,4.97,98,10,26,79,123,02_0594_43.wav,WAS,02,0594,39,70
JE12,12,1.1,y,JE,no,https://www.francescocangemi.com/isaphen/ZVZ.wav,https://youtu.be/xwqhSLq1oyg&t=0636,,how to put it like meaning layer,9,1,1705,5.28,97,6,14,85,112,02_0594_45.wav,ZVZ,02,0594,42,89
JE13,13,1.1,x,JE,no,https://www.francescocangemi.com/isaphen/GUL.wav,https://youtu.be/xwqhSLq1oyg&t=0639,,dont know if that makes sense,6,0,1044,5.75,104,23,60,61,149,02_0594_49.wav,GUL,02,0594,45,25
JE14,14,1.1,x,JE,no,https://www.francescocangemi.com/isaphen/GYW.wav,https://youtu.be/xwqhSLq1oyg&t=0656,,oh i i think,4,3,1385,2.89,120,10,25,96,140,02_0656_02.wav,GYW,02,0656,0,27
JE15,15,1.1,y,JE,no,https://www.francescocangemi.com/isaphen/RVU.wav,https://youtu.be/xwqhSLq1oyg&t=0659,,both but i i wouldn't have been able to even approach the,16,4,3250,4.92,101,7,20,86,119,02_0656_06.wav,RVU,02,0656,3,57
JE16,16,1.1,y,JE,no,https://www.francescocangemi.com/isaphen/LKH.wav,https://youtu.be/xwqhSLq1oyg&t=0662,,imaginary with japanese,9,2,1737,5.18,94,5,10,79,106,02_0656_08.wav,LKH,02,0656,6,37
JE17,17,1.1,w,JE,no,https://www.francescocangemi.com/isaphen/PSF.wav,https://youtu.be/xwqhSLq1oyg&t=0669,https://www.francescocangemi.com/isaphen/PSF.png,i mean y you know what would be interesting is if,12,4,2531,4.74,133,32,88,85,203,02_0656_16.wav,PSF,02,0656,13,49
JE18,18,1.1,x,JE,no,https://www.francescocangemi.com/isaphen/VQW.wav,https://youtu.be/xwqhSLq1oyg&t=0683,,but it would be interesting if there was a more robust narrative something that we could,23,1,3535,6.51,105,12,30,86,145,02_0656_26.wav,VQW,02,0656,27,68
JE19,19,1.1,y,JE,no,https://www.francescocangemi.com/isaphen/VHB.wav,https://youtu.be/xwqhSLq1oyg&t=0691,,in the imaginary,7,2,1380,5.07,96,8,18,85,130,02_0656_34.wav,VHB,02,0656,35,66
